DATE,HASH,AVAST,AVG,CLAMAV,MSDEFENDER
2-Dec-22,14a0703d6ad0d48950a441214a3445def23d6ce0226792f72efb51db34c59bec,Win32:VB-AJKP\ [Trj],,Win.Malware.Swisyn-7610494-0,PWS:Win32/Ymacco.AA50
1-Dec-22,f48aad653ee2e3d175ca6491dfc0ceff75a6418461aee88c44b9d29648430aee,Win32:VB-AJKU\ [Trj],,Win.Packed.Generic-9967832-0,TrojanDropper:Win32/Muldrop.V!MTB
1-Dec-22,b62f04a91b24f1fe2ec6e73e5e18ef10913ff00bfb795d32be0747972203f456,Sf:Zbot-CQ\ [Trj],,Win.Malware.Zbot-9977984-0,PWS:Win32/Zbot.gen!R
30-Nov-22,bf2eb47232cf3788b7f9706a74989ac83be8c22462b9e74cbd512842e6ebe46b,,,,
30-Nov-22,d3adc94c5a8cf2d58f5171b96122ba943f5db8543c9d08004626bfa8a397513e,Win32:VB-AJKU\ [Trj],,Win.Packed.Generic-9967832-0,TrojanDropper:Win32/Muldrop.V!MTB
29-Nov-22,ce0e16057446ac4dc838d30c0934e28bb9ecb0ad2f18a553577b7b861aa65ced,Win32:VB-AJKP\ [Trj],,Win.Malware.Swisyn-7610494-0,PWS:Win32/VB.CU
29-Nov-22,38f0eae5a415ad2f3e7119cd026d90148e51766c0b24e97a9f1cb2fb8f034c2c,Win32:VB-AJKU\ [Trj],,Win.Malware.Midie-6847892-0,TrojanDropper:Win32/Muldrop.V!MTB
29-Nov-22,3ff055ae69eedad347d87b401bffbe3373c39e861e5d18987f64b4a373267a93,,,,
29-Nov-22,b0407dcfc2e651e6f62700240c10d63abba275ac5d3f50010dfa9e6e1422f2be,Win32:Evo-gen\ [Trj],,Win.Trojan.Agent-959440,
29-Nov-22,139e8985c899a295dae99451413351d5fb671e80b3680683d6dfcd60d1224f97,Win32:VB-AJKU\ [Trj],,Win.Packed.Generic-9967832-0,TrojanDropper:Win32/Muldrop.V!MTB
